,Feature,importance
113,ATSC0i,0.00021010408595381537
218,GATS6c,0.00020920157908483722
1207,TDB5u,0.00020738078631199299
105,ATSC1p,0.0002064518282104792
109,ATSC5p,0.00020526708931506307
420,VR3_Dt,0.00020437868913272236
49,AATS6p,0.00020324983527557656
1302,WNSA-2,0.00020266419360558607
1573,P2v,0.00020245276663018573
224,GATS4m,0.00020210706772952173
796,maxHssNH,0.00020172086864189795
1485,RDF20i,0.00020062870722933863
22,AATS1m,0.00020018320309218976
140,AATSC3m,0.0002001485435206919
98,ATSC2e,0.00020003457410050027
1456,RDF25p,0.00019994943831542057
262,GATS2s,0.00019962576129706447
996,MIC3,0.00019870760280855604
213,GATS1c,0.00019867804743803168
726,minsOH,0.0001983262200552346
431,nHBint7,0.00019831640534510582
1025,MDEO-22,0.00019825574894107777
312,SpMin4_Bhm,0.00019682817270130903
1153,JGI7,0.0001967920400746587
1267,TDB5s,0.00019644481837395188
924,ETA_Psi_1,0.0001964447774653593
271,VE2_DzZ,0.00019521399490964714
43,AATS0p,0.00019516797104224032
1309,TPSA,0.00019463803639232678
372,ASP-0,0.0001946160671737507
1382,RDF105m,0.0001945099716159879
1032,MLFER_A,0.00019342679902823834
1567,Km,0.00019337072843543648
994,MIC1,0.0001920625934256343
1434,RDF65e,0.00019188290259831972
1154,JGI8,0.0001908312661736883
1448,RDF135e,0.0001906870874831093
1500,RDF95i,0.00018954286379950462
1483,RDF10i,0.00018937760617903594
347,VCH-5,0.0001888706655742715
1305,RNCG,0.00018885605146369997
391,AVP-3,0.0001876086125852321
139,AATSC1m,0.00018691932213701418
33,AATS6v,0.00018661072607047268
1287,PNSA-2,0.00018503021828688424
906,MAXDP,0.00018502036396450539
1147,JGI1,0.00018479349714297947
170,AATSC1i,0.00018473028737640433
687,minHCsats,0.0001842938191130931
1430,RDF45e,0.00018425258330812287
188,MATS6c,0.00018424582972801623
134,AATSC5c,0.00018414005035309597
1404,RDF65v,0.00018207261633501322
1581,Dv,0.00018191984207101657
1236,TDB4e,0.00018117397851800842
27,AATS7m,0.00018051042785775199
1580,Kv,0.0001803953058327123
1526,RDF75s,0.00017974646954457596
44,AATS1p,0.00017936807754049186
1529,RDF90s,0.00017787391791290665
1577,Tv,0.00017740120431749057
362,VPC-5,0.0001773022089315351
394,AVP-6,0.00017713706511573456
1273,TDB1r,0.00017695462152279693
1004,ZMIC5,0.00017694063295338444
1035,MLFER_S,0.0001766187175352563
177,AATSC0s,0.0001763179866906032
19,ATS2s,0.0001756908083619806
1220,TDB8m,0.00017514350916647602
941,ETA_EtaP,0.0001741203364369995
337,C2SP3,0.00017361772915922463
1276,TDB4r,0.00017338399405666377
1165,VE3_D,0.00017330131097125748
1349,RDF90u,0.0001728677761327371
1551,Tu,0.00017152250892962117
909,MAXDP2,0.00017091396361337293
1196,WTPT-3,0.00017052034022513603
962,HybRatio,0.00017051649171053566
1466,RDF75p,0.0001694199658200463
1593,Ke,0.00016813264326838315
1230,TDB8v,0.00016662371984655627
845,maxsOH,0.00016653049059970403
1218,TDB6m,0.00016641913647218794
1515,RDF20s,0.00016593063643291676
294,BCUTw-1h,0.0001658718732015005
1141,GGI5,0.000165663007694263
944,ETA_EtaP_F,0.0001656422979514476
278,VE3_Dzv,0.00016522990499497964
552,SHBint9,0.00016456384758816003
1163,VE1_D,0.0001641002561195478
62,AATS1s,0.00016225646375924986
122,ATSC0s,0.00016178217023097397
1586,P2e,0.00016144080242327594
68,AATS7s,0.00016134230129553285
951,ETA_EtaP_B,0.00016070917172133456
1087,nT6Ring,0.00016067249789472298
3,AMR,0.00016000645089207506
1050,piPC3,0.00015906014385604607
685,minHaaCH,0.00015690690584805185
925,ETA_dPsi_A,0.00015682739230491962
79,ATSC0m,0.00015655454507882706
1383,RDF110m,0.00015642157589010233
283,VE3_Dzp,0.00015631360226189917
1060,PetitjeanNumber,0.00015605469545465053
981,CIC0,0.000155198817974389
1248,TDB6p,0.00015514989978770478
1224,TDB2v,0.00015476324053563322
934,ETA_Beta_ns,0.00015463212261409548
803,maxHdsCH,0.0001546103012045971
1525,RDF70s,0.00015453044179281926
990,BIC3,0.0001542821381999543
1158,SpMax_D,0.0001541421982354951
1240,TDB8e,0.00015339729949902947
1608,L1i,0.00015287522122191184
1216,TDB4m,0.00015137742275511462
1463,RDF60p,0.00014986379713369515
541,SHBd,0.00014913711521769203
81,ATSC2m,0.0001484005700825389
548,SHBint5,0.00014815490904212375
904,LipoaffinityIndex,0.00014793856224498589
1340,RDF45u,0.0001476231672670613
984,CIC3,0.0001471146151915524
1151,JGI5,0.00014709377799443046
1625,P2s,0.00014658777502956887
361,VPC-4,0.00014546253952552282
21,AATS0m,0.00014416970022270172
1544,L2u,0.000144137297544507
608,SdO,0.00014389809145995639
350,SC-3,0.00014375348106183502
1597,L3p,0.00014365836721937393
352,SC-5,0.00014344357182140863
70,ATSC0c,0.00014291028397162098
1299,WPSA-2,0.00014259597839775517
979,SIC4,0.00014245963938099032
589,SdssC,0.00014190882911952482
40,AATS6e,0.00014143967884193716
1007,Kier3,0.00014123853680236468
907,DELS,0.00014075660475639724
1132,RotBtFrac,0.0001398672357969936
950,ETA_Eta_B,0.00013943804866288178
1440,RDF95e,0.0001384198783775042
946,ETA_EtaP_L,0.00013838228929687936
1609,L2i,0.00013833520037447134
918,ETA_Epsilon_4,0.0001381385462095118
